# 2BIGB_name(J2000)       R.A.(deg)  Dec(deg)    N0(E-13)_2BIGB   N0_err(E-13)_2BIGB   Gamma_2BIGB  Gamma_err_2BIGB   Flux(0.5-500GeV)_2BIGB   Flux_err(0.5-500GeV)_2BIGB   TS_2BIGB   4FGLv20_name       PivotEnergy_2BIGB   5BZCat           sflag_3HSP  log(nu)_3HSP[Hz] log(nufnu)_3HSP[erg/sm2/s]   nuflag_3HSP   z_3HSP   zflag_3HSP   FOM_3HSP   WHSPnames               4FGL_Name_v20       R.A.4FGL_v20     Dec_4FGL_v20    sqrt(TS)_4FGL_v20   Pivot_Energy_4FGL_v20   N0_4FGL_v20      N0_err_4FGL_20   PL_Index_4FGL_v20   PL_Index_err_4FGL_v20   GAL_LONG             GAL_LAT              
  2BIGBJ005446.7-245529   13.69475   -24.92472   1.10708          0.0793542            1.76985      0.0516421         1.18024E-9               9.17945E-11                  744.745    0054.7-2455        2436.3708           5BZBJ0054-2455   0            15.7           -11.3             1             0.12     3            2.0        2WHSPJ005446.6-245528   "4FGL J0054.7-2455" 13.6945       -24.933        0.0211               2436.3708               1.2728486E-13    9.470917E-15     1.7468208           0.047602493             141.92643292334884   -87.67217322063848   
  2BIGBJ005542.1+450701   13.92792   45.11706    0.0117284        0.00509178           1.66111      0.249095          6.2004E-11               3.55836E-11                  12.1565    0055.7+4507        6487.0317           --               0            15.0           -12.5             3             0.46     5            0.13       --                      "4FGL J0055.7+4507" 13.9397       45.1244        0.0514               6487.0317               2.314021E-15     7.414083E-16     1.771013            0.1905134               123.72352990091491   -17.74811972715625   
  2BIGBJ005620.1-093630   14.08358   -9.6085     0.769388         0.0582454            1.84065      0.0580407         1.23501E-9               1.08516E-10                  584.93     0056.3-0935        3000.1812           5BZGJ0056-0936   0            15.9           -11.6             1             0.1      1            1.0        2WHSPJ005619.9-093629   "4FGL J0056.3-0935" 14.0874       -9.5997        0.0287               3000.1812               7.707254E-14     6.6498545E-15    1.8709282           0.06283392              126.93571252548668   -72.44217380117719   
  2BIGBJ005758.4+632639   14.49325   63.44425    0.0175829        0.00306431           1.58456      0.123543          3.07707E-10              8.78617E-11                  89.0891    0057.9+6326        14527.771           --               0            16.8           -11.6             1             0.18     5            1.0        --                      "4FGL J0057.9+6326" 14.4955       63.4385        0.0327               14527.771               1.5570929E-15    3.3401063E-16    1.6726426           0.14393194              123.6622830756387    0.5817691168599515   
  2BIGBJ005916.9-015017   14.8205    -1.83819    0.0878457        0.0141216            1.70178      0.111675          3.48687E-10              7.21413E-11                  129.686    0059.3-0152        5331.9014           5BZGJ0059-0150   0            17.7           -11.7             1             0.114    1            0.79       2WHSPJ005916.9-015017   "4FGL J0059.3-0152" 14.8361       -1.8725        0.0452               5331.9014               8.32837E-15      1.5625211E-15    1.7836272           0.12662396              127.51213582410465   -64.64015766287713   
  2BIGBJ005931.5-351049   14.88112   -35.18031   0.230069         0.0409918            1.96237      0.136303          2.88558E-10              6.0517E-11                   76.1174    0059.5-3512        2533.995            --               0            16.3           -12.0             1             0.31     4            0.4        --                      "4FGL J0059.5-3512" 14.885        -35.2117       0.0531               2533.995                2.6129643E-14    4.7891616E-15    2.0154214           0.13889393              291.3190183309478    -81.76480838035073   
  2BIGBJ010142.0-545547   15.42504   -54.92983   0.00851244       0.0024247            1.63246      0.206019          9.58333E-11              3.79336E-11                  39.1891    0101.7-5455        10507.692           --               0            16.0           -12.5             1             0.28     5            0.13       --                      "4FGL J0101.7-5455" 15.4454       -54.9255       0.0449               10507.692               9.145782E-16     2.8697426E-16    1.6079878           0.19284546              299.777390058126     -62.13552101388516   
  2BIGBJ010250.9-200158   15.71225   -20.03281   0.0112792        0.00377547           1.54456      0.211789          7.91364E-11              3.44049E-11                  28.6495    0102.7-2001        8409.696            --               0            16.3           -12.2             1             0.27     2            0.25       2WHSPJ010250.8-200158   "4FGL J0102.7-2001" 15.6935       -20.0305       0.0509               8409.696                1.3986515E-15    4.5128565E-16    1.626527            0.19606437              143.74749906722218   -82.4390978605833    
  2BIGBJ010326.0+152624   15.85833   15.44019    1.21542          0.308366             2.13528      0.170863          3.69583E-10              9.47482E-11                  44.4928    0103.5+1526        1235.7245           5BZGJ0103+1526   1            15.0           -12.2             2             0.246    1            0.25       --                      "4FGL J0103.5+1526" 15.8786       15.4348        0.0673               1235.7245               1.4861605E-13    3.0950628E-14    2.412866            0.16558874              127.19895211890098   -47.33215126721919   
  2BIGBJ010325.9+533713   15.85787   53.62039    0.23579          0.0179863            1.78297      0.0541586         1.06065E-9               1.01379E-10                  496.647    0103.5+5337        5449.7285           --               0            16.5           -11.8             1             0.15     5            0.63       --                      "4FGL J0103.5+5337" 15.8787       53.6262        0.0219               5449.7285               2.1647973E-14    2.145523E-15     1.8065445           0.06527515              124.73305771824559   -9.209409867189153   
  2BIGBJ010956.6-402050   17.48571   -40.34747   0.0998263        0.0169006            1.86627      0.125012          2.83712E-10              5.58214E-11                  83.4629    0110.0-4019        4039.0334           --               0            16.5           -11.9             1             0.313    1            0.5        2WHSPJ010956.5-402049   "4FGL J0110.0-4019" 17.5159       -40.3178       0.0385               4039.0334               1.2233266E-14    2.143816E-15     1.794693            0.1178053               287.9568948548962    -76.23803886765796   
  2BIGBJ011050.0-125503   17.70825   -12.91764   0.223205         0.0357465            2.136        0.154354          5.135E-10                9.9837E-11                   90.6911    0110.7-1254        3186.8682           5BZBJ0110-1255   0            17.2           -11.6             1             0.23     1            1.0        2WHSPJ011049.9-125503   "4FGL J0110.7-1254" 17.6934       -12.9077       0.0319               3186.8682               2.1845268E-14    4.0685665E-15    1.9825666           0.13426052              141.5966041865568    -75.0820516899949    
  2BIGBJ011130.2+053627   17.87579   5.60753     0.0621363        0.018438             1.84326      0.212849          1.59581E-10              6.2639E-11                   26.8853    0111.4+0534        3868.0925           5BZBJ0111+0536   0            17.0           -11.9             2             0.346    1            0.5        2WHSPJ011130.1+053626   "4FGL J0111.4+0534" 17.8573       5.5761         0.0627               3868.0925               9.8747685E-15    2.382119E-15     1.9516995           0.1792656               132.1026493006038    -56.90651015989995   
  2BIGBJ011231.4-750617   18.13083   -75.10494   0.318487         0.0363355            1.9349       0.0876276         5.11007E-10              6.92492E-11                  182.809    0112.8-7506        2901.7268           --               3            15.8           -12.2             1             0.3      5            0.25       2WHSPJ011231.3-750616   "4FGL J0112.8-7506" 18.2049       -75.1024       0.0404               2901.7268               3.3992137E-14    4.552048E-15     1.9442574           0.09667315              301.11231951052235   -41.94873224147833   
  2BIGBJ011501.7-340027   18.75717   -34.00756   0.0167786        0.00349215           1.64268      0.139078          1.86571E-10              5.17931E-11                  82.0736    0114.9-3400        10327.964           5BZBJ0115-3400   0            17.9           -11.6             1             0.482    1            1.0        2WHSPJ011501.6-340027   "4FGL J0114.9-3400" 18.7398       -34.0063       0.028                10327.964               1.7428393E-15    4.0298204E-16    1.5745633           0.15091714              267.96115615856917   -81.45351940775335   
  2BIGBJ011546.1+251953   18.94225   25.33153    2.58308          0.112427             1.87865      0.034751          2.94904E-9               1.4371E-10                   1836.26    0115.8+2519        2469.9644           5BZBJ0115+2519   0            15.7           -11.7             1             0.375    1            0.79       2WHSPJ011546.0+251953   "4FGL J0115.8+2519" 18.9539       25.3324        0.0209               2469.9644               1.8045809E-13    1.1465966E-14    1.9745302           0.04994193              129.83923428336954   -37.21367518581261   
  2BIGBJ011555.5-274431   18.98108   -27.74206   0.03507          0.00722167           1.88011      0.149006          2.73642E-10              7.24136E-11                  68.3849    0116.0-2745        6862.7114           --               0            17.2           -11.9             1             0.7      3            0.5        2WHSPJ011555.3-274430   "4FGL J0116.0-2745" 19.0032       -27.7589       0.0412               6862.7114               3.3959992E-15    8.2210816E-16    1.7768272           0.17068788              220.78281189639247   -84.53290938699648   
  2BIGBJ011637.1-281146   19.15442   -28.19636   0.195195         0.0820909            2.14138      0.29273           1.55968E-10              7.84753E-11                  13.6969    0116.5-2812        1940.1006           --               0            16.6           -12.2             1             0.32     4            0.25       2WHSPJ011637.0-281145   "4FGL J0116.5-2812" 19.1342       -28.201        0.1162               1940.1006               3.6714247E-14    8.963575E-15     2.29121             0.20601755              225.22858211159047   -84.32392678206584   
  2BIGBJ011747.0-244333   19.44583   -24.72603   0.0163783        0.00564147           1.66382      0.22337           8.25735E-11              3.7354E-11                   23.2358    0117.5-2442        6293.087            5BZBJ0117-2443   0            16.6           -12.1             1             0.279    1            0.32       2WHSPJ011746.9-244332   "4FGL J0117.5-2442" 19.3907       -24.7145       0.0768               6293.087                2.5951294E-15    7.8986484E-16    1.7473919           0.19936968              192.32205481171047   -83.60925634318575   
